TREE;[0003D428];EuonymusBush01;\EuonymusBush01.spt;;;
TREE;[0001C487];WastelandShrub01;\WastelandShrub01.spt;;;
TREE;[0003C356];WhiteOak01;\WhiteOak01.spt;;;
AMMO;[00004241];Ammo10mm;Ammo\10mmAmmo.NIF;;;9,9
AMMO;[0013E43B];Ammo10mmHollowPoint;Ammo\10mmAmmo.NIF;;;9,9
AMMO;[00140AA8];Ammo10mmJHPHandLoad;Ammo\10mmAmmo.NIF;;;9,9
AMMO;[00176E54];AmmoCompanion;Ammo\10mmAmmo.NIF;;;9,9
AMMO;[0007EA27];Ammo22LR;ammo\22lrammo.nif;;;
AMMO;[00121162];Ammo22LRPlinking;ammo\22lrammo.nif;;;
AMMO;[0013E439];Ammo22LRHollowPoint;ammo\22lrammo.nif;;;
MISC;[00166640];BoxAmmo22LRPlinking;ammo\22lrammo.nif;;;
AMMO;[00096C40];Ammo25mmGrenade;ammo\25mmammo.nif;;;
AMMO;[0013E449];Ammo25mmGrenadeHighExplosive;ammo\25mmammo.nif;;;
AMMO;[0006B53C];Ammo308;ammo\3006rramo.NIF;;;
AMMO;[0013E442];Ammo308ArmorPiercing;ammo\3006rramo.NIF;;;
AMMO;[0013E443];Ammo308HollowPoint;ammo\3006rramo.NIF;;;
AMMO;[00140AA0];Ammo308JSPHandLoad;ammo\3006rramo.NIF;;;
AMMO;[0007EA26];Ammo40mmGrenade;ammo\308ammo.nif;;;
AMMO;[00158307];Ammo40mmGrenadeIncendiary;ammo\308ammo.nif;;;
AMMO;[0008ED02];Ammo357Magnum;ammo\357MagnumAmmo.NIF;;;
AMMO;[0013E43C];Ammo357MagnumHollowPoint;ammo\357MagnumAmmo.NIF;;;
AMMO;[00140A9E];Ammo357MagnumJFPHandLoad;ammo\357MagnumAmmo.NIF;;;
AMMO;[0015E8EE];Ammo38Special;ammo\357MagnumAmmo.NIF;;;
MISC;[0016664F];BoxAmmo38Special;ammo\357MagnumAmmo.NIF;;;
AMMO;[0002937E];Ammo44magnum;Ammo\44MagnumAmmo.NIF;;;
AMMO;[0013E437];Ammo44MagnumHollowPoint;Ammo\44MagnumAmmo.NIF;;;
AMMO;[0013E438];Ammo44MagnumSWCHandLoad;Ammo\44MagnumAmmo.NIF;;;
AMMO;[0015E8ED];Ammo44Special;Ammo\44MagnumAmmo.NIF;;;
AMMO;[0006B53D];Ammo5mm;Ammo\5mmAmmo.NIF;;;
AMMO;[000615A8];Ammo5mmRobot;Ammo\5mmAmmo.NIF;;;
AMMO;[00121150];Ammo5mmSurplus;Ammo\5mmAmmo.NIF;;;
AMMO;[0013E43F];Ammo5mmArmorPiercing;Ammo\5mmAmmo.NIF;;;
AMMO;[001613FF];Ammo5mmHollowPoint;Ammo\5mmAmmo.NIF;;;
MISC;[0016664E];BoxAmmo223;ammo\5mmammo.nif;;;
MISC;[00166650];BoxAmmo5mmSurplus;ammo\5mmammo.nif;;;
MISC;[00166651];BoxAmmo556mmSurplus;ammo\5mmammo.nif;;;
AMMO;[0008ED03];Ammo9mm;ammo\9mmammo.nif;;;
AMMO;[0013E43A];Ammo9mmHollowPoint;ammo\9mmammo.nif;;;
AMMO;[00160C40];Ammo9mmP;ammo\9mmammo.nif;;;
AMMO;[00176E5C];Ammo9mmRobot;ammo\9mmammo.nif;;;
AMMO;[00029364];AmmoAlienPowerCell;Ammo\AlienPowerCell.NIF;;;
AMMO;[0006B53E];AmmoElectronChargePack;Ammo\ECCell.NIF;;;
AMMO;[000615AF];AmmoElectronChargePackRobot;Ammo\ECCell.NIF;;;
AMMO;[0015830D];AmmoElectronChargePackOverCharge;Ammo\ECCell.NIF;;;
AMMO;[0015830E];AmmoElectronChargePackMaxCharge;Ammo\ECCell.NIF;;;
AMMO;[00158311];AmmoElectronChargePackBulk;Ammo\ECCell.NIF;;;
MISC;[0015C62A];DrainedElectronChargePack;ammo\eccell.nif;;;
MISC;[00166653];BoxAmmoElectronChargePackBulk;ammo\eccell.nif;;;
AMMO;[00029371];AmmoFlamerFuel;Ammo\FlamerFuel.NIF;;;
AMMO;[00166F62];AmmoFlamerFuelHomemade;Ammo\FlamerFuel.NIF;;;
AMMO;[0008ECF5];Ammo12Ga;ammo\shotgunshellbox.nif;;;
AMMO;[0013E446];Ammo12GaBeanBag;ammo\shotgunshellbox.nif;;;
AMMO;[0013E447];Ammo12GaSlug;ammo\shotgunshellbox.nif;;;
AMMO;[001582DA];Ammo12GaCoinShot;ammo\shotgunshellbox.nif;;;
AMMO;[00165E79];Ammo12GaMagnum;ammo\shotgunshellbox.nif;;;
ANIO;[000B5EA9];BartenderWipeGlassRag;AnimObjects\aoBarDishRag.NIF;;;
ANIO;[000B5EA8];aoBartenderWipeGlass;AnimObjects\aoBarGlassEmpty.NIF;;;
ANIO;[000B5EAF];aoBeakerA;AnimObjects\aoBeaker.NIF;;;
ANIO;[000B5EB0];aoBeakerB;AnimObjects\aoBeaker.NIF;;;
ANIO;[000446D2];aoDrinkingStandingA;AnimObjects\aoBeerBottle.NIF;;;
